HourUTC,HourDK,PriceArea,Version,FuelAllocationMethod,ReportGrpCode,ProductionType,DeliveryType,Production_MWh,ShareTotal,ShareGrid,FuelConsumptionGJ,CO2PerkWh,CO2originPerkWh,SO2PerkWh,NOxPerkWh,NMvocPerkWh,CH4PerkWh,COPerkWh,N2OPerkWh,SlagPerkWh,FlyAshPerkWh,ParticlesPerkWh,WastePerkWh,DesulpPerkWh
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,125%,R04x,FossilGas,Grid,9.273329,0.333812,0.333812,8.788887,53.46874,53.46874,0.423083,64.73072,23.192067,116.297868,18.242635,0.843565,0.0,0.0,0.253195,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,125%,R05x,Coal,Grid,88.236112,3.176235,3.176235,699.287304,749.009012,749.009012,79.251826,134.728105,7.925183,7.132664,79.251826,6.340146,6.134091,35.639546,23.775548,0.0,12.957674
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,125%,R06x,Fossil Oil,Grid,3.827032,0.137762,0.137762,31.261274,644.103965,644.103965,802.810596,1123.766384,6.538416,6.7775,117.037427,4.58527,0.0,0.0,27.734905,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,125%,R17,Waste,Grid,45.946486,1.653935,1.653935,318.463299,294.575088,704.900857,57.528782,568.35664,3.88146,2.356601,27.031596,8.317414,119.382619,0.0,2.010042,18.083445,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,200%,R01-1,BioGas,Grid,43.366915,1.561079,1.561079,305.768754,0.0,577.455445,136.85256,1379.897378,68.468221,2949.650834,2115.887599,10.898839,0.0,0.0,18.25541,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,200%,R01-2,Straw,Grid,7.068426,0.254442,0.254442,79.942504,0.0,1130.980298,554.180346,1413.725373,8.821646,5.315607,757.7568,12.440783,10.201442,4.410823,26.012547,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,200%,R01-3,Wood,Grid,72.211793,2.599407,2.599407,682.373169,0.0,977.089514,19.238843,323.904356,72.17667,30.408977,871.639276,8.01141,8.523547,3.685347,32.28735,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,200%,R04x,FossilGas,Grid,9.273329,0.333812,0.333812,11.254594,68.479742,68.479742,0.540686,81.282986,28.784247,143.972644,23.222589,1.083426,0.0,0.0,0.317571,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,200%,R05x,Coal,Grid,88.236112,3.176235,3.176235,802.29799,859.344108,859.344108,90.926263,154.574646,9.092626,8.183364,90.926263,7.274101,7.037693,40.88954,27.277879,0.0,14.866444
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,200%,R06x,Fossil Oil,Grid,3.827032,0.137762,0.137762,35.967827,740.901433,740.901433,920.251966,1292.113856,7.524141,7.79666,134.801578,5.22563,0.0,0.0,31.90898,0.0,0.0
